measurement,dbms,index_variant,kind,k,phase,run,lock_hold_ms,statement_ms,commit_ms,affected_rows,probe,wait_ms,remaining_hold_ms,outcome,outcome_detail,departed_before_commit,error
"lock_hold","MySQL","unindexed","UNCAPTURED","100","measured","4","3.607","1.834","1.751","100","","","","","","",""
"lock_hold","MySQL","unindexed","UNCAPTURED","100","measured","5","3.759","1.821","1.919","100","","","","","","",""
"lock_hold","MySQL","unindexed","UNCAPTURED","100","measured","6","3.522","1.573","1.933","100","","","","","","",""
"lock_hold","MySQL","unindexed","UNCAPTURED","100","measured","7","3.638","1.677","1.943","100","","","","","","",""
"lock_hold","MySQL","unindexed","UNCAPTURED","100","measured","8","3.826","1.836","1.971","100","","","","","","",""
"lock_hold","MySQL","unindexed","UNCAPTURED","100","measured","9","3.860","1.867","1.971","100","","","","","","",""
"lock_hold","MySQL","unindexed","UPDATE","1000","warmup","1","24.449","6.010","1.967","1000","","","","","","",""
"lock_hold","MySQL","unindexed","UPDATE","1000","warmup","2","26.547","6.240","3.240","1000","","","","","","",""
"lock_hold","MySQL","unindexed","UPDATE","1000","measured","3","21.647","5.992","1.509","1000","","","","","","",""
"lock_hold","MySQL","unindexed","UPDATE","1000","measured","4","21.559","5.794","1.743","1000","","","","","","",""
"lock_hold","MySQL","unindexed","UPDATE","1000","measured","5","26.257","7.246","1.932","1000","","","","","","",""
"lock_hold","MySQL","unindexed","UPDATE","1000","measured","6","26.972","7.281","1.796","1000","","","","","","",""
"lock_hold","MySQL","unindexed","UPDATE","1000","measured","7","27.305","6.047","2.026","1000","","","","","","",""
"lock_hold","MySQL","unindexed","UPDATE","1000","measured","8","25.940","5.958","2.410","1000","","","","","","",""
"lock_hold","MySQL","unindexed","UPDATE","1000","measured","9","29.636","5.913","2.923","1000","","","","","","",""
"lock_hold","MySQL","unindexed","UNCAPTURED","1000","warmup","1","7.340","5.001","2.302","1000","","","","","","",""
"lock_hold","MySQL","unindexed","UNCAPTURED","1000","warmup","2","6.509","4.631","1.827","1000","","","","","","",""
"lock_hold","MySQL","unindexed","UNCAPTURED","1000","measured","3","6.960","4.909","2.003","1000","","","","","","",""
"lock_hold","MySQL","unindexed","UNCAPTURED","1000","measured","4","7.113","4.878","2.183","1000","","","","","","",""
"lock_hold","MySQL","unindexed","UNCAPTURED","1000","measured","5","7.079","4.773","2.262","1000","","","","","","",""
"lock_hold","MySQL","unindexed","UNCAPTURED","1000","measured","6","6.850","4.895","1.929","1000","","","","","","",""
"lock_hold","MySQL","unindexed","UNCAPTURED","1000","measured","7","6.450","4.896","1.524","1000","","","","","","",""
"lock_hold","MySQL","unindexed","UNCAPTURED","1000","measured","8","7.091","4.826","2.238","1000","","","","","","",""
"lock_hold","MySQL","unindexed","UNCAPTURED","1000","measured","9","6.476","4.685","1.763","1000","","","","","","",""
"lock_hold","MySQL","unindexed","UPDATE","10000","warmup","1","188.331","6.742","3.443","10000","","","","","","",""
"lock_hold","MySQL","unindexed","UPDATE","10000","warmup","2","188.652","7.332","4.022","10000","","","","","","",""
"lock_hold","MySQL","unindexed","UPDATE","10000","measured","3","162.803","8.741","4.028","10000","","","","","","",""
"lock_hold","MySQL","unindexed","UPDATE","10000","measured","4","152.897","6.823","3.090","10000","","","","","","",""
"lock_hold","MySQL","unindexed","UPDATE","10000","measured","5","166.451","7.043","3.350","10000","","","","","","",""
"lock_hold","MySQL","unindexed","UPDATE","10000","measured","6","154.513","7.193","3.194","10000","","","","","","",""
"lock_hold","MySQL","unindexed","UPDATE","10000","measured","7","144.497","6.400","3.227","10000","","","","","","",""
"lock_hold","MySQL","unindexed","UPDATE","10000","measured","8","209.744","7.003","4.523","10000","","","","","","",""
"lock_hold","MySQL","unindexed","UPDATE","10000","measured","9","158.750","6.692","3.575","10000","","","","","","",""
"lock_hold","MySQL","unindexed","UNCAPTURED","10000","warmup","1","36.720","34.388","2.287","10000","","","","","","",""
"lock_hold","MySQL","unindexed","UNCAPTURED","10000","warmup","2","36.096","32.050","3.990","10000","","","","","","",""
"lock_hold","MySQL","unindexed","UNCAPTURED","10000","measured","3","34.761","32.406","2.306","10000","","","","","","",""
"lock_hold","MySQL","unindexed","UNCAPTURED","10000","measured","4","36.493","33.704","2.732","10000","","","","","","",""
"lock_hold","MySQL","unindexed","UNCAPTURED","10000","measured","5","34.331","31.859","2.421","10000","","","","","","",""
"lock_hold","MySQL","unindexed","UNCAPTURED","10000","measured","6","37.781","34.152","3.580","10000","","","","","","",""
"lock_hold","MySQL","unindexed","UNCAPTURED","10000","measured","7","35.326","32.641","2.633","10000","","","","","","",""
"lock_hold","MySQL","unindexed","UNCAPTURED","10000","measured","8","34.682","31.869","2.758","10000","","","","","","",""
"lock_hold","MySQL","unindexed","UNCAPTURED","10000","measured","9","35.185","32.319","2.811","10000","","","","","","",""
"lock_hold","PostgreSQL","indexed","UPDATE","10","warmup","1","7.459","0.797","1.068","10","","","","","","",""
"lock_hold","PostgreSQL","indexed","UPDATE","10","warmup","2","6.098","1.231","1.077","10","","","","","","",""
"lock_hold","PostgreSQL","indexed","UPDATE","10","measured","3","5.750","0.911","0.892","10","","","","","","",""
"lock_hold","PostgreSQL","indexed","UPDATE","10","measured","4","5.415","0.823","0.996","10","","","","","","",""
"lock_hold","PostgreSQL","indexed","UPDATE","10","measured","5","4.569","0.867","0.724","10","","","","","","",""
"lock_hold","PostgreSQL","indexed","UPDATE","10","measured","6","4.809","0.751","0.834","10","","","","","","",""
"lock_hold","PostgreSQL","indexed","UPDATE","10","measured","7","5.365","0.756","0.927","10","","","","","","",""
"lock_hold","PostgreSQL","indexed","UPDATE","10","measured","8","5.519","0.819","1.076","10","","","","","","",""
"lock_hold","PostgreSQL","indexed","UPDATE","10","measured","9","5.746","1.060","0.852","10","","","","","","",""
"lock_hold","PostgreSQL","indexed","UNCAPTURED","10","warmup","1","1.694","0.972","0.709","10","","","","","","",""
"lock_hold","PostgreSQL","indexed","UNCAPTURED","10","warmup","2","1.912","0.938","0.962","10","","","","","","",""
"lock_hold","PostgreSQL","indexed","UNCAPTURED","10","measured","3","1.675","0.826","0.824","10","","","","","","",""
"lock_hold","PostgreSQL","indexed","UNCAPTURED","10","measured","4","1.803","0.900","0.893","10","","","","","","",""
"lock_hold","PostgreSQL","indexed","UNCAPTURED","10","measured","5","1.723","0.987","0.727","10","","","","","","",""
"lock_hold","PostgreSQL","indexed","UNCAPTURED","10","measured","6","1.710","0.930","0.767","10","","","","","","",""
"lock_hold","PostgreSQL","indexed","UNCAPTURED","10","measured","7","1.270","0.711","0.550","10","","","","","","",""
"lock_hold","PostgreSQL","indexed","UNCAPTURED","10","measured","8","1.587","0.705","0.874","10","","","","","","",""
"lock_hold","PostgreSQL","indexed","UNCAPTURED","10","measured","9","1.740","0.991","0.736","10","","","","","","",""
"lock_hold","PostgreSQL","indexed","UPDATE","100","warmup","1","6.076","0.898","1.056","100","","","","","","",""
"lock_hold","PostgreSQL","indexed","UPDATE","100","warmup","2","5.487","0.740","0.994","100","","","","","","",""
"lock_hold","PostgreSQL","indexed","UPDATE","100","measured","3","6.375","0.874","1.011","100","","","","","","",""
"lock_hold","PostgreSQL","indexed","UPDATE","100","measured","4","5.773","0.941","0.926","100","","","","","","",""
"lock_hold","PostgreSQL","indexed","UPDATE","100","measured","5","6.039","0.851","1.261","100","","","","","","",""
"lock_hold","PostgreSQL","indexed","UPDATE","100","measured","6","6.034","0.897","1.030","100","","","","","","",""
"lock_hold","PostgreSQL","indexed","UPDATE","100","measured","7","6.604","1.056","1.196","100","","","","","","",""
"lock_hold","PostgreSQL","indexed","UPDATE","100","measured","8","6.044","0.926","1.118","100","","","","","","",""
"lock_hold","PostgreSQL","indexed","UPDATE","100","measured","9","6.109","0.937","1.037","100","","","","","","",""
"lock_hold","PostgreSQL","indexed","UNCAPTURED","100","warmup","1","1.883","1.011","0.857","100","","","","","","",""
"lock_hold","PostgreSQL","indexed","UNCAPTURED","100","warmup","2","2.020","1.177","0.831","100","","","","","","",""
"lock_hold","PostgreSQL","indexed","UNCAPTURED","100","measured","3","1.627","0.914","0.697","100","","","","","","",""
"lock_hold","PostgreSQL","indexed","UNCAPTURED","100","measured","4","1.663","0.878","0.771","100","","","","","","",""
"lock_hold","PostgreSQL","indexed","UNCAPTURED","100","measured","5","1.967","1.046","0.908","100","","","","","","",""
"lock_hold","PostgreSQL","indexed","UNCAPTURED","100","measured","6","2.401","1.431","0.957","100","","","","","","",""
"lock_hold","PostgreSQL","indexed","UNCAPTURED","100","measured","7","2.014","1.064","0.929","100","","","","","","",""
"lock_hold","PostgreSQL","indexed","UNCAPTURED","100","measured","8","1.984","1.056","0.908","100","","","","","","",""
"lock_hold","PostgreSQL","indexed","UNCAPTURED","100","measured","9","2.192","1.252","0.928","100","","","","","","",""
"lock_hold","PostgreSQL","indexed","UPDATE","1000","warmup","1","24.949","1.714","1.904","1000","","","","","","",""
"lock_hold","PostgreSQL","indexed","UPDATE","1000","warmup","2","23.553","1.852","2.397","1000","","","","","","",""
"lock_hold","PostgreSQL","indexed","UPDATE","1000","measured","3","20.714","1.511","2.009","1000","","","","","","",""
"lock_hold","PostgreSQL","indexed","UPDATE","1000","measured","4","21.171","1.856","1.678","1000","","","","","","",""
"lock_hold","PostgreSQL","indexed","UPDATE","1000","measured","5","20.557","1.569","1.091","1000","","","","","","",""
"lock_hold","PostgreSQL","indexed","UPDATE","1000","measured","6","20.251","1.746","1.456","1000","","","","","","",""
"lock_hold","PostgreSQL","indexed","UPDATE","1000","measured","7","18.527","1.579","1.832","1000","","","","","","",""
"lock_hold","PostgreSQL","indexed","UPDATE","1000","measured","8","21.549","1.778","1.609","1000","","","","","","",""
"lock_hold","PostgreSQL","indexed","UPDATE","1000","measured","9","19.239","1.676","1.304","1000","","","","","","",""
"lock_hold","PostgreSQL","indexed","UNCAPTURED","1000","warmup","1","4.832","3.527","1.292","1000","","","","","","",""
"lock_hold","PostgreSQL","indexed","UNCAPTURED","1000","warmup","2","4.483","3.328","1.138","1000","","","","","","",""
"lock_hold","PostgreSQL","indexed","UNCAPTURED","1000","measured","3","4.612","2.970","1.627","1000","","","","","","",""
"lock_hold","PostgreSQL","indexed","UNCAPTURED","1000","measured","4","4.282","2.797","1.472","1000","","","","","","",""
"lock_hold","PostgreSQL","indexed","UNCAPTURED","1000","measured","5","3.872","2.530","1.329","1000","","","","","","",""
"lock_hold","PostgreSQL","indexed","UNCAPTURED","1000","measured","6","3.982","2.523","1.445","1000","","","","","","",""
"lock_hold","PostgreSQL","indexed","UNCAPTURED","1000","measured","7","4.052","2.556","1.471","1000","","","","","","",""
"lock_hold","PostgreSQL","indexed","UNCAPTURED","1000","measured","8","3.927","2.616","1.292","1000","","","","","","",""
"lock_hold","PostgreSQL","indexed","UNCAPTURED","1000","measured","9","3.699","2.157","1.523","1000","","","","","","",""
"lock_hold","PostgreSQL","indexed","UPDATE","10000","warmup","1","163.644","9.870","10.703","10000","","","","","","",""
"lock_hold","PostgreSQL","indexed","UPDATE","10000","warmup","2","154.554","8.962","15.018","10000","","","","","","",""
"lock_hold","PostgreSQL","indexed","UPDATE","10000","measured","3","145.815","8.007","7.339","10000","","","","","","",""
"lock_hold","PostgreSQL","indexed","UPDATE","10000","measured","4","142.396","8.294","5.538","10000","","","","","","",""
"lock_hold","PostgreSQL","indexed","UPDATE","10000","measured","5","147.533","9.358","1.050","10000","","","","","","",""
"lock_hold","PostgreSQL","indexed","UPDATE","10000","measured","6","151.715","8.053","8.706","10000","","","","","","",""
"lock_hold","PostgreSQL","indexed","UPDATE","10000","measured","7","150.261","7.769","7.772","10000","","","","","","",""
"lock_hold","PostgreSQL","indexed","UPDATE","10000","measured","8","145.962","7.349","1.092","10000","","","","","","",""
