policy,delay_ms,interval_ms,intended_ms,snapshot_ms,blocked
PARALLEL,0,1000,12000,12045,0
PARALLEL,0,1000,13000,13020,1
PARALLEL,0,1000,14000,14041,1
PARALLEL,0,1000,15000,15016,0
PARALLEL,0,1000,16000,16028,0
PARALLEL,0,1000,17000,17026,1
PARALLEL,0,1000,18000,18039,0
PARALLEL,0,1000,19000,19016,0
PARALLEL,0,1000,20000,20088,0
PARALLEL,0,1000,21000,21017,1
PARALLEL,0,1000,22000,22080,0
PARALLEL,0,1000,23000,23043,0
PARALLEL,0,1000,24000,24100,0
PARALLEL,0,1000,25000,25033,1
PARALLEL,0,1000,26000,26119,0
PARALLEL,0,1000,27000,27030,0
PARALLEL,0,1000,28000,28067,0
PARALLEL,0,1000,29000,29082,1
PARALLEL,0,1000,30000,30094,0
PARALLEL,0,1000,31000,31027,0
PARALLEL,0,1000,32000,32064,0
PARALLEL,0,1000,33000,33022,1
PARALLEL,0,1000,34000,34114,0
PARALLEL,0,1000,35000,35048,0
PARALLEL,0,1000,36000,36061,0
PARALLEL,0,1000,37000,37032,1
PARALLEL,0,1000,38000,38067,0
PARALLEL,0,1000,39000,39046,0
DELAY,2000,1000,54,2063,0
DELAY,2000,1000,3093,5099,1
DELAY,2000,1000,6114,8122,0
DELAY,2000,1000,9132,11135,0
DELAY,2000,1000,12145,14149,0
DELAY,2000,1000,15160,17170,1
DELAY,2000,1000,18177,20187,0
DELAY,2000,1000,21210,23212,0
DELAY,2000,1000,24227,26235,0
DELAY,2000,1000,27248,29259,1
DELAY,2000,1000,30274,32282,0
DELAY,2000,1000,33290,35300,0
DELAY,2000,1000,36343,38345,0
DELAY,2000,1000,39360,41370,0
QUEUE,2000,1000,0,2052,0
QUEUE,2000,1000,1000,4079,0
QUEUE,2000,1000,2000,6091,0
QUEUE,2000,1000,3000,8112,0
QUEUE,2000,1000,4000,10158,0
QUEUE,2000,1000,5000,12174,0
QUEUE,2000,1000,6000,14185,0
QUEUE,2000,1000,7000,16215,0
QUEUE,2000,1000,8000,18228,0
QUEUE,2000,1000,9000,20243,0
QUEUE,2000,1000,10000,22279,0
QUEUE,2000,1000,11000,24415,0
QUEUE,2000,1000,12000,26452,0
QUEUE,2000,1000,13000,28477,0
QUEUE,2000,1000,14000,30491,0
QUEUE,2000,1000,15000,32512,1
QUEUE,2000,1000,16000,34529,0
QUEUE,2000,1000,17000,36539,1
QUEUE,2000,1000,18000,38558,0
QUEUE,2000,1000,19000,40579,0
QUEUE,2000,1000,20000,42598,0
QUEUE,2000,1000,21000,44618,0
QUEUE,2000,1000,22000,46644,0
QUEUE,2000,1000,23000,48677,0
QUEUE,2000,1000,24000,50701,0
QUEUE,2000,1000,25000,52731,0
QUEUE,2000,1000,26000,54759,0
QUEUE,2000,1000,27000,56788,0
QUEUE,2000,1000,28000,58835,0
QUEUE,2000,1000,29000,60864,0
QUEUE,2000,1000,30000,62916,0
QUEUE,2000,1000,31000,64954,0
QUEUE,2000,1000,32000,66993,0
QUEUE,2000,1000,33000,69010,0
QUEUE,2000,1000,34000,71061,0
QUEUE,2000,1000,35000,73110,0
QUEUE,2000,1000,36000,75151,0
QUEUE,2000,1000,37000,77183,0
QUEUE,2000,1000,38000,79222,0
QUEUE,2000,1000,39000,81262,0
PARALLEL,2000,1000,0,2084,0
PARALLEL,2000,1000,1000,3069,0
PARALLEL,2000,1000,2000,4168,0
PARALLEL,2000,1000,3000,5021,1
PARALLEL,2000,1000,4000,6044,0
PARALLEL,2000,1000,5000,7052,0
PARALLEL,2000,1000,6000,8118,0
PARALLEL,2000,1000,7000,9025,1
PARALLEL,2000,1000,8000,10030,0
PARALLEL,2000,1000,9000,11021,0
PARALLEL,2000,1000,10000,12048,0
PARALLEL,2000,1000,11000,13040,1
PARALLEL,2000,1000,12000,14021,0
PARALLEL,2000,1000,13000,15021,0
PARALLEL,2000,1000,14000,16017,0
PARALLEL,2000,1000,15000,17020,1
PARALLEL,2000,1000,16000,18078,0
PARALLEL,2000,1000,17000,19024,0
PARALLEL,2000,1000,18000,20031,0
PARALLEL,2000,1000,19000,21019,1
PARALLEL,2000,1000,20000,22053,0
PARALLEL,2000,1000,21000,23042,0
PARALLEL,2000,1000,22000,24014,0
PARALLEL,2000,1000,23000,25343,1
PARALLEL,2000,1000,24000,26198,0
PARALLEL,2000,1000,25000,27188,0
PARALLEL,2000,1000,26000,28406,0
PARALLEL,2000,1000,27000,29744,1
PARALLEL,2000,1000,28000,30412,0
PARALLEL,2000,1000,29000,31183,0
PARALLEL,2000,1000,30000,32511,1
PARALLEL,2000,1000,31000,33355,1
PARALLEL,2000,1000,32000,34351,0
PARALLEL,2000,1000,33000,35244,0
PARALLEL,2000,1000,34000,36324,0
PARALLEL,2000,1000,35000,37018,1
PARALLEL,2000,1000,36000,38043,0
PARALLEL,2000,1000,37000,39021,0
PARALLEL,2000,1000,38000,40029,0
PARALLEL,2000,1000,39000,41027,0
DELAY,0,1000,36,36,0
DELAY,0,1000,1040,1040,1
DELAY,0,1000,2047,2047,0
DELAY,0,1000,3055,3055,0
DELAY,0,1000,4061,4061,0
DELAY,0,1000,5073,5073,1
DELAY,0,1000,6074,6075,0
DELAY,0,1000,7080,7080,0
DELAY,0,1000,8090,8090,0
DELAY,0,1000,9092,9092,1
DELAY,0,1000,10109,10109,0
DELAY,0,1000,11111,11111,0
DELAY,0,1000,12123,12123,0
DELAY,0,1000,13124,13124,1
DELAY,0,1000,14132,14132,0
DELAY,0,1000,15133,15133,0
DELAY,0,1000,16143,16147,0
DELAY,0,1000,17284,17285,1
DELAY,0,1000,18489,18504,0
DELAY,0,1000,19549,19549,0
DELAY,0,1000,20554,20554,1
DELAY,0,1000,21562,21562,1
DELAY,0,1000,22573,22573,0
DELAY,0,1000,23578,23578,0
DELAY,0,1000,24590,24590,1
DELAY,0,1000,25599,25599,1
DELAY,0,1000,26607,26607,0
DELAY,0,1000,27612,27612,0
DELAY,0,1000,28615,28615,1
DELAY,0,1000,29624,29624,1
DELAY,0,1000,30638,30638,0
DELAY,0,1000,31644,31644,0
DELAY,0,1000,32655,32655,1
DELAY,0,1000,33664,33664,1
DELAY,0,1000,34669,34669,0
DELAY,0,1000,35675,35675,0
DELAY,0,1000,36684,36685,1
DELAY,0,1000,37693,37693,1
DELAY,0,1000,38700,38700,0
DELAY,0,1000,39708,39708,0
QUEUE,0,1000,0,88,0
QUEUE,0,1000,1000,1003,1
QUEUE,0,1000,2000,2006,1
QUEUE,0,1000,3000,3006,0
QUEUE,0,1000,4000,4004,0
QUEUE,0,1000,5000,5006,1
QUEUE,0,1000,6000,6001,1
QUEUE,0,1000,7000,7001,0
QUEUE,0,1000,8000,8002,0
QUEUE,0,1000,9000,9005,1
QUEUE,0,1000,10000,10001,1
QUEUE,0,1000,11000,11009,0
QUEUE,0,1000,12000,12002,0
QUEUE,0,1000,13000,13002,1
QUEUE,0,1000,14000,14007,0
QUEUE,0,1000,15000,15002,0
QUEUE,0,1000,16000,16000,0
QUEUE,0,1000,17000,17000,1
QUEUE,0,1000,18000,18001,1
QUEUE,0,1000,19000,19003,0
QUEUE,0,1000,20000,20006,0
QUEUE,0,1000,21000,21003,1
QUEUE,0,1000,22000,22006,1
QUEUE,0,1000,23000,23007,0
QUEUE,0,1000,24000,24001,0
QUEUE,0,1000,25000,25009,1
QUEUE,0,1000,26000,26009,0
QUEUE,0,1000,27000,27001,0
QUEUE,0,1000,28000,28000,0
QUEUE,0,1000,29000,29002,1
QUEUE,0,1000,30000,30003,1
QUEUE,0,1000,31000,31006,0
QUEUE,0,1000,32000,32002,0
QUEUE,0,1000,33000,33002,1
QUEUE,0,1000,34000,34002,1
QUEUE,0,1000,35000,35000,0
QUEUE,0,1000,36000,36002,0
QUEUE,0,1000,37000,37009,1
QUEUE,0,1000,38000,38002,1
QUEUE,0,1000,39000,39007,0
PARALLEL,0,1000,0,52,0
PARALLEL,0,1000,1000,1045,1
PARALLEL,0,1000,2000,2047,0
PARALLEL,0,1000,3000,3026,0
PARALLEL,0,1000,4000,4049,0
PARALLEL,0,1000,5000,5027,1
PARALLEL,0,1000,6000,6054,0
PARALLEL,0,1000,7000,7039,0
PARALLEL,0,1000,8000,8077,0
PARALLEL,0,1000,9000,9046,1
PARALLEL,0,1000,10000,10076,0
PARALLEL,0,1000,11000,11054,0
PARALLEL,0,1000,12000,12069,0
PARALLEL,0,1000,13000,13059,1
